order_id,order_date,product_name,region,warehouse,transaction_type,quantity,unit_price_iqd,revenue_iqd,expiry_date
TXN-10035,2026-04-26 04:32:12,SITAVIA Plus 50/1000mg,Basra,North,Sale,64,5000,320000,2026-05-22
TXN-10036,2026-06-12 13:32:12,SITAVIA 100mg Tablets,Anbar,South,Sale,118,25000,2950000,2027-03-10
TXN-10037,2026-01-07 13:32:12,ATRANEER 10mg/ml Injection,Baghdad,South,Sale,124,25000,3100000,2026-05-20
TXN-10038,2026-01-12 08:32:12,CLAFONEER 500mg IV/IM Vial,Basra,Central,Sale,92,15000,1380000,2026-02-27
TXN-10039,2026-05-03 23:32:12,No-vomit 8mg/4ml Injection,Anbar,South,Sale,146,7500,1095000,2026-07-03
TXN-10040,2026-04-12 17:32:12,CLAFONEER 500mg IV/IM Vial,Erbil,South,Return,9,5000,-45000,2026-08-05
TXN-10041,2026-04-18 09:32:12,Piodol 500mg Tablets,Mosul,North,Sale,145,5000,725000,2027-01-25
TXN-10042,2026-01-04 04:32:12,SITAVIA 100mg Tablets,Baghdad,North,Sale,10,7500,75000,2026-04-23
TXN-10043,2025-12-25 06:32:12,SITAVIA Plus 50/1000mg,Baghdad,West,Sale,120,7500,900000,2026-03-05
TXN-10044,2026-05-10 02:32:12,SITAVIA Plus 50/1000mg,Erbil,Central,Return,5,25000,-125000,2026-08-27
TXN-10045,2026-03-04 15:32:12,SITAVIA Plus 50/1000mg,Mosul,Central,Sale,103,5000,515000,2026-05-04
TXN-10046,2026-01-31 00:32:12,No-vomit 8mg/4ml Injection,Erbil,South,Sale,31,5000,155000,2026-12-22
TXN-10047,2026-05-22 20:32:12,NAPRON 500mg Tablet,Erbil,South,Sale,54,15000,810000,2026-12-01
TXN-10048,2026-05-31 18:32:12,CLOXABAN 20mg F/C Tablet,Baghdad,North,Sale,114,15000,1710000,2026-08-06
TXN-10049,2026-04-04 16:32:12,ATRANEER 10mg/ml Injection,Mosul,North,Sale,18,12000,216000,2026-08-17
TXN-10050,2026-03-25 06:32:12,Neuro-Forte F/C Tablet,Mosul,Central,Sale,54,15000,810000,2026-04-15
TXN-10051,2026-04-23 08:32:12,ATRANEER 10mg/ml Injection,Anbar,South,Sale,37,15000,555000,2026-06-04
TXN-10052,2026-02-05 00:32:12,CLAFONEER 500mg IV/IM Vial,Erbil,West,Sale,40,12000,480000,2026-11-11
TXN-10053,2026-02-08 11:32:12,Neuro-Forte F/C Tablet,Baghdad,West,Sale,38,15000,570000,2027-01-25
TXN-10054,2026-04-17 18:32:12,SITAVIA 100mg Tablets,Basra,West,Return,3,5000,-15000,2026-06-27
TXN-10055,2026-06-02 13:32:12,CLAFONEER 500mg IV/IM Vial,Basra,South,Sale,124,5000,620000,2026-05-22
TXN-10056,2026-04-30 16:32:12,NAPRON 500mg Tablet,Erbil,North,Sale,81,5000,405000,2026-07-20
TXN-10057,2026-04-21 21:32:12,Piodol 500mg Tablets,Mosul,North,Sale,83,7500,622500,2026-05-31
TXN-10058,2026-03-24 21:32:12,CLOXABAN 20mg F/C Tablet,Anbar,West,Sale,138,12000,1656000,2026-09-01
TXN-10059,2026-01-14 04:32:12,LOSART 50mg Tablets,Erbil,North,Sale,99,7500,742500,2026-10-24
TXN-10060,2026-04-10 10:32:12,Piodol 500mg Tablets,Basra,West,Sale,28,15000,420000,2026-03-14
TXN-10061,2026-05-17 17:32:12,SITAVIA 100mg Tablets,Baghdad,North,Sale,86,15000,1290000,2026-07-16
TXN-10062,2026-06-11 15:32:12,ATRANEER 10mg/ml Injection,Mosul,North,Sale,12,25000,300000,2026-06-15
TXN-10063,2026-02-06 18:32:12,No-vomit 8mg/4ml Injection,Baghdad,West,Return,2,12000,-24000,2026-01-17
TXN-10064,2026-06-09 04:32:12,NAPRON 500mg Tablet,Mosul,Central,Sale,82,12000,984000,2026-10-19
TXN-10065,2026-01-18 02:32:12,NAPRON 500mg Tablet,Mosul,South,Return,5,25000,-125000,2026-02-08
TXN-10066,2026-03-31 19:32:12,SITAVIA 100mg Tablets,Erbil,West,Sale,77,25000,1925000,2026-05-28
TXN-10067,2026-01-29 16:32:12,ATRANEER 10mg/ml Injection,Baghdad,West,Sale,31,5000,155000,2026-04-07
TXN-10068,2026-05-30 06:32:12,Piodol 500mg Tablets,Erbil,Central,Sale,129,7500,967500,2027-04-16
TXN-10069,2026-01-06 02:32:12,Neuro-Forte F/C Tablet,Erbil,West,Sale,140,12000,1680000,2026-04-02
TXN-10070,2026-01-22 01:32:12,Neuro-Forte F/C Tablet,Mosul,South,Sale,102,5000,510000,2026-04-29
TXN-10071,2026-05-05 02:32:12,No-vomit 8mg/4ml Injection,Mosul,South,Sale,25,15000,375000,2026-08-22
TXN-10072,2025-12-28 06:32:12,NAPRON 500mg Tablet,Mosul,West,Sale,125,12000,1500000,2026-04-04
TXN-10073,2026-06-01 18:32:12,SITAVIA 100mg Tablets,Anbar,West,Sale,23,25000,575000,2026-11-27
TXN-10074,2025-12-23 14:32:12,LOSART 50mg Tablets,Erbil,Central,Sale,101,7500,757500,2026-07-09
TXN-10075,2026-01-10 02:32:12,No-vomit 8mg/4ml Injection,Erbil,West,Sale,16,7500,120000,2026-03-05
TXN-10076,2026-06-08 18:32:12,No-vomit 8mg/4ml Injection,Baghdad,West,Sale,73,25000,1825000,2026-12-02
TXN-10077,2026-02-07 03:32:12,LOSART 50mg Tablets,Baghdad,North,Sale,87,12000,1044000,2026-03-12
TXN-10078,2026-04-14 05:32:12,CLOXABAN 20mg F/C Tablet,Baghdad,South,Sale,72,15000,1080000,2026-08-07
TXN-10079,2026-02-17 10:32:12,ATRANEER 10mg/ml Injection,Mosul,South,Sale,61,5000,305000,2026-12-20
TXN-10080,2026-01-23 20:32:12,Piodol 500mg Tablets,Anbar,South,Sale,129,15000,1935000,2026-03-15
TXN-10081,2026-06-11 16:32:12,ATRANEER 10mg/ml Injection,Baghdad,North,Sale,82,15000,1230000,2027-01-28
TXN-10082,2026-01-19 19:32:12,NAPRON 500mg Tablet,Basra,South,Sale,87,15000,1305000,2026-09-30
TXN-10083,2025-12-23 00:32:12,SITAVIA 100mg Tablets,Basra,Central,Sale,61,7500,457500,2026-11-07
TXN-10084,2026-01-29 23:32:12,CLAFONEER 500mg IV/IM Vial,Anbar,Central,Sale,15,5000,75000,2026-06-06
TXN-10085,2026-05-17 15:32:12,No-vomit 8mg/4ml Injection,Basra,West,Sale,68,25000,1700000,2026-05-19
TXN-10086,2026-02-06 15:32:12,LOSART 50mg Tablets,Baghdad,West,Sale,131,15000,1965000,2026-01-24
TXN-10087,2026-01-02 18:32:12,CLOXABAN 20mg F/C Tablet,Mosul,Central,Return,6,7500,-45000,2026-11-12
TXN-10088,2026-05-01 17:32:12,NAPRON 500mg Tablet,Erbil,South,Sale,145,25000,3625000,2026-08-09
TXN-10089,2026-04-05 07:32:12,CLAFONEER 500mg IV/IM Vial,Baghdad,West,Sale,67,25000,1675000,2026-08-19
TXN-10090,2026-05-11 19:32:12,CLAFONEER 500mg IV/IM Vial,Erbil,South,Sale,72,7500,540000,2026-04-30
TXN-10091,2026-04-20 06:32:12,CLOXABAN 20mg F/C Tablet,Baghdad,North,Sale,117,5000,585000,2026-08-15
TXN-10092,2026-06-17 00:32:12,ATRANEER 10mg/ml Injection,Baghdad,Central,Return,2,15000,-30000,2026-06-20
TXN-10093,2026-06-19 15:32:12,NAPRON 500mg Tablet,Anbar,South,Return,9,25000,-225000,2026-12-02
TXN-10094,2026-03-11 09:32:12,CLOXABAN 20mg F/C Tablet,Mosul,Central,Sale,129,15000,1935000,2026-03-19
TXN-10095,2026-02-10 18:32:12,Neuro-Forte F/C Tablet,Basra,South,Sale,80,25000,2000000,2026-01-16
TXN-10096,2026-05-03 00:32:12,LOSART 50mg Tablets,Baghdad,Central,Sale,17,7500,127500,2026-04-12
TXN-10097,2026-06-19 21:32:12,SITAVIA 100mg Tablets,Erbil,Central,Sale,103,15000,1545000,2027-02-09
TXN-10098,2026-03-28 04:32:12,NAPRON 500mg Tablet,Anbar,West,Return,1,15000,-15000,2026-12-11
TXN-10099,2026-05-21 17:32:12,Neuro-Forte F/C Tablet,Mosul,Central,Sale,89,7500,667500,2027-01-14
TXN-10100,2026-06-13 02:32:12,LOSART 50mg Tablets,Basra,West,Sale,19,25000,475000,2027-03-28
TXN-10101,2026-03-10 21:32:12,NAPRON 500mg Tablet,Erbil,North,Sale,129,7500,967500,2026-03-12
TXN-10102,2026-01-13 17:32:12,CLAFONEER 500mg IV/IM Vial,Anbar,West,Sale,77,25000,1925000,2026-05-06
TXN-10103,2026-05-08 07:32:12,CLOXABAN 20mg F/C Tablet,Basra,Central,Sale,148,12000,1776000,2026-04-30
TXN-10104,2026-04-26 13:32:12,NAPRON 500mg Tablet,Erbil,North,Sale,47,25000,1175000,2026-05-09
TXN-10105,2026-01-07 06:32:12,Neuro-Forte F/C Tablet,Baghdad,North,Sale,54,5000,270000,2026-03-19
TXN-10106,2026-01-29 13:32:12,No-vomit 8mg/4ml Injection,Basra,South,Sale,61,25000,1525000,2026-08-24
TXN-10107,2026-04-26 22:32:12,ATRANEER 10mg/ml Injection,Erbil,West,Sale,136,25000,3400000,2026-07-21
TXN-10108,2026-01-29 18:32:12,NAPRON 500mg Tablet,Anbar,West,Sale,109,7500,817500,2026-02-07
TXN-10109,2026-03-02 21:32:12,Piodol 500mg Tablets,Basra,West,Sale,46,12000,552000,2026-03-23
TXN-10110,2026-05-20 08:32:12,CLOXABAN 20mg F/C Tablet,Anbar,West,Sale,10,7500,75000,2027-03-18
TXN-10111,2026-04-15 09:32:12,Piodol 500mg Tablets,Erbil,West,Sale,149,15000,2235000,2026-07-01
TXN-10112,2026-01-18 10:32:12,LOSART 50mg Tablets,Anbar,West,Sale,42,7500,315000,2026-09-12
TXN-10113,2026-04-13 22:32:12,NAPRON 500mg Tablet,Anbar,Central,Sale,57,7500,427500,2026-09-15
TXN-10114,2026-03-15 14:32:12,LOSART 50mg Tablets,Erbil,South,Sale,85,25000,2125000,2026-05-10
TXN-10115,2026-03-31 05:32:12,Neuro-Forte F/C Tablet,Mosul,North,Sale,100,7500,750000,2026-11-13
TXN-10116,2026-06-20 02:32:12,ATRANEER 10mg/ml Injection,Baghdad,South,Sale,129,25000,3225000,2026-10-26
TXN-10117,2026-03-29 14:32:12,LOSART 50mg Tablets,Mosul,West,Sale,81,7500,607500,2026-06-06
TXN-10118,2026-05-02 08:32:12,SITAVIA 100mg Tablets,Erbil,West,Sale,50,15000,750000,2026-05-27
TXN-10119,2026-03-23 05:32:12,CLAFONEER 500mg IV/IM Vial,Erbil,West,Sale,11,15000,165000,2026-04-01
TXN-10120,2026-03-20 14:32:12,Piodol 500mg Tablets,Anbar,North,Sale,31,5000,155000,2026-06-14
TXN-10121,2026-04-13 22:32:12,No-vomit 8mg/4ml Injection,Baghdad,North,Sale,99,5000,495000,2026-07-29
TXN-10122,2026-04-15 13:32:12,SITAVIA 100mg Tablets,Anbar,South,Sale,126,12000,1512000,2026-05-02
TXN-10123,2026-01-04 18:32:12,No-vomit 8mg/4ml Injection,Basra,North,Sale,46,25000,1150000,2026-07-17
TXN-10124,2026-04-12 16:32:12,CLOXABAN 20mg F/C Tablet,Mosul,West,Sale,26,25000,650000,2027-04-04
TXN-10125,2026-06-13 03:32:12,Piodol 500mg Tablets,Baghdad,North,Sale,28,15000,420000,2026-10-06
TXN-10126,2026-06-06 01:32:12,No-vomit 8mg/4ml Injection,Mosul,North,Sale,100,7500,750000,2026-09-10
TXN-10127,2026-06-12 23:32:12,NAPRON 500mg Tablet,Mosul,Central,Return,8,7500,-60000,2026-10-10
TXN-10128,2025-12-28 03:32:12,CLOXABAN 20mg F/C Tablet,Basra,South,Sale,131,7500,982500,2026-12-15
TXN-10129,2025-12-23 14:32:12,CLOXABAN 20mg F/C Tablet,Baghdad,West,Sale,108,25000,2700000,2025-12-09
TXN-10130,2026-03-10 04:32:12,SITAVIA 100mg Tablets,Erbil,South,Sale,77,5000,385000,2026-11-24
TXN-10131,2026-06-08 18:32:12,Neuro-Forte F/C Tablet,Basra,South,Sale,77,5000,385000,2026-10-15
TXN-10132,2026-05-06 10:32:12,No-vomit 8mg/4ml Injection,Basra,West,Sale,103,25000,2575000,2027-03-04
TXN-10133,2026-04-11 09:32:12,SITAVIA Plus 50/1000mg,Mosul,North,Sale,31,25000,775000,2026-04-28
TXN-10134,2026-05-19 07:32:12,NAPRON 500mg Tablet,Basra,South,Sale,53,15000,795000,2026-07-28
TXN-10135,2025-12-24 11:32:12,CLAFONEER 500mg IV/IM Vial,Anbar,Central,Sale,49,15000,735000,2026-01-25
TXN-10136,2026-04-05 18:32:12,Neuro-Forte F/C Tablet,Anbar,North,Sale,11,5000,55000,2026-05-24
TXN-10137,2026-01-01 07:32:12,LOSART 50mg Tablets,Erbil,Central,Sale,10,12000,120000,2026-12-22
TXN-10138,2025-12-30 10:32:12,SITAVIA Plus 50/1000mg,Baghdad,West,Sale,49,12000,588000,2026-01-20
TXN-10139,2026-04-30 03:32:12,ATRANEER 10mg/ml Injection,Mosul,South,Sale,80,15000,1200000,2026-07-12
TXN-10140,2026-06-10 10:32:12,SITAVIA Plus 50/1000mg,Erbil,South,Sale,35,15000,525000,2027-01-18
TXN-10141,2026-03-04 22:32:12,SITAVIA 100mg Tablets,Basra,South,Sale,39,12000,468000,2026-03-01
TXN-10142,2026-02-24 09:32:12,CLAFONEER 500mg IV/IM Vial,Erbil,West,Sale,125,12000,1500000,2026-06-27
TXN-10143,2026-03-10 23:32:12,Neuro-Forte F/C Tablet,Basra,South,Sale,11,5000,55000,2026-05-07
TXN-10144,2026-01-06 15:32:12,No-vomit 8mg/4ml Injection,Mosul,Central,Sale,33,12000,396000,2025-12-23
TXN-10145,2026-03-11 20:32:12,CLAFONEER 500mg IV/IM Vial,Erbil,North,Sale,16,7500,120000,2026-03-02
TXN-10146,2026-03-29 04:32:12,LOSART 50mg Tablets,Baghdad,Central,Return,3,15000,-45000,2026-12-29
TXN-10147,2026-06-05 11:32:12,Piodol 500mg Tablets,Baghdad,West,Sale,149,12000,1788000,2026-05-10
TXN-10148,2026-02-02 06:32:12,SITAVIA 100mg Tablets,Erbil,North,Sale,21,15000,315000,2027-01-21
TXN-10149,2025-12-28 18:32:12,CLOXABAN 20mg F/C Tablet,Basra,West,Return,10,25000,-250000,2026-04-17
TXN-10150,2026-03-04 16:32:12,CLOXABAN 20mg F/C Tablet,Mosul,Central,Sale,22,7500,165000,2026-06-22
TXN-10151,2026-06-11 20:32:12,CLOXABAN 20mg F/C Tablet,Anbar,West,Return,2,15000,-30000,2027-02-22
TXN-10152,2026-01-06 03:32:12,CLAFONEER 500mg IV/IM Vial,Anbar,West,Sale,47,7500,352500,2026-12-18
TXN-10153,2026-06-19 04:32:12,CLOXABAN 20mg F/C Tablet,Erbil,West,Sale,31,7500,232500,2026-08-09
TXN-10154,2026-04-09 20:32:12,Piodol 500mg Tablets,Baghdad,Central,Sale,11,12000,132000,2026-12-24
TXN-10155,2026-05-14 19:32:12,SITAVIA 100mg Tablets,Basra,Central,Sale,19,7500,142500,2026-06-13
TXN-10156,2026-01-15 04:32:12,NAPRON 500mg Tablet,Anbar,South,Sale,71,7500,532500,2026-01-11
TXN-10157,2026-03-31 05:32:12,Piodol 500mg Tablets,Basra,Central,Sale,95,12000,1140000,2026-04-05
TXN-10158,2026-03-23 07:32:12,No-vomit 8mg/4ml Injection,Erbil,West,Sale,64,12000,768000,2026-03-27
TXN-10159,2026-04-04 04:32:12,ATRANEER 10mg/ml Injection,Basra,Central,Sale,83,5000,415000,2026-03-20
TXN-10160,2026-03-29 17:32:12,No-vomit 8mg/4ml Injection,Erbil,South,Sale,103,12000,1236000,2026-06-27
TXN-10161,2026-05-28 19:32:12,NAPRON 500mg Tablet,Erbil,West,Sale,109,15000,1635000,2026-09-17
TXN-10162,2026-01-22 10:32:12,Piodol 500mg Tablets,Baghdad,South,Sale,113,12000,1356000,2026-01-12
TXN-10163,2026-04-17 07:32:12,Neuro-Forte F/C Tablet,Mosul,West,Sale,27,15000,405000,2026-04-21
TXN-10164,2026-05-29 22:32:12,Piodol 500mg Tablets,Basra,North,Sale,38,15000,570000,2026-07-03
TXN-10165,2026-04-15 22:32:12,LOSART 50mg Tablets,Mosul,North,Sale,18,12000,216000,2026-05-03
TXN-10166,2026-01-18 03:32:12,No-vomit 8mg/4ml Injection,Anbar,North,Sale,140,12000,1680000,2026-04-17
TXN-10167,2026-01-03 16:32:12,CLOXABAN 20mg F/C Tablet,Erbil,North,Sale,120,5000,600000,2025-12-27
TXN-10168,2026-01-15 15:32:12,LOSART 50mg Tablets,Mosul,North,Sale,131,25000,3275000,2026-09-11
TXN-10169,2026-01-08 06:32:12,CLOXABAN 20mg F/C Tablet,Erbil,Central,Sale,70,15000,1050000,2026-05-30
TXN-10170,2026-01-24 18:32:12,SITAVIA Plus 50/1000mg,Basra,North,Sale,105,25000,2625000,2026-04-13
TXN-10171,2025-12-23 00:32:12,Neuro-Forte F/C Tablet,Basra,South,Sale,143,12000,1716000,2025-12-21
TXN-10172,2026-05-03 23:32:12,CLAFONEER 500mg IV/IM Vial,Erbil,South,Sale,37,5000,185000,2027-04-13
TXN-10173,2026-05-22 14:32:12,Neuro-Forte F/C Tablet,Basra,Central,Sale,67,7500,502500,2026-09-01
TXN-10174,2026-01-19 12:32:12,Piodol 500mg Tablets,Anbar,North,Sale,108,15000,1620000,2026-03-04
TXN-10175,2026-05-20 09:32:12,ATRANEER 10mg/ml Injection,Baghdad,Central,Sale,76,25000,1900000,2026-09-07
TXN-10176,2026-05-12 00:32:12,ATRANEER 10mg/ml Injection,Basra,Central,Sale,126,15000,1890000,2026-10-20
TXN-10177,2026-05-05 11:32:12,SITAVIA 100mg Tablets,Anbar,Central,Return,1,25000,-25000,2027-03-06
TXN-10178,2026-01-07 01:32:12,ATRANEER 10mg/ml Injection,Basra,South,Sale,60,15000,900000,2025-12-12
TXN-10179,2026-01-10 19:32:12,SITAVIA 100mg Tablets,Baghdad,Central,Sale,146,25000,3650000,2025-12-12
TXN-10180,2026-03-16 04:32:12,CLOXABAN 20mg F/C Tablet,Basra,South,Sale,65,15000,975000,2026-02-27
TXN-10181,2026-02-06 04:32:12,No-vomit 8mg/4ml Injection,Basra,Central,Sale,18,7500,135000,2026-06-14
TXN-10182,2026-02-10 10:32:12,No-vomit 8mg/4ml Injection,Baghdad,South,Return,2,5000,-10000,2026-05-03
TXN-10183,2026-02-12 04:32:12,SITAVIA Plus 50/1000mg,Mosul,North,Sale,28,15000,420000,2026-03-14
TXN-10184,2026-01-21 17:32:12,CLAFONEER 500mg IV/IM Vial,Mosul,West,Return,5,7500,-37500,2026-03-15
TXN-10185,2026-05-12 10:32:12,Piodol 500mg Tablets,Erbil,West,Sale,135,7500,1012500,2026-06-28
TXN-10186,2026-05-04 06:32:12,NAPRON 500mg Tablet,Basra,Central,Sale,34,5000,170000,2027-01-19
TXN-10187,2026-04-09 18:32:12,Neuro-Forte F/C Tablet,Baghdad,North,Return,5,5000,-25000,2026-03-13
TXN-10188,2026-01-18 22:32:12,No-vomit 8mg/4ml Injection,Erbil,West,Return,3,15000,-45000,2026-02-10
TXN-10189,2026-05-26 05:32:12,CLOXABAN 20mg F/C Tablet,Erbil,West,Sale,75,7500,562500,2026-05-24
TXN-10190,2026-05-27 05:32:12,ATRANEER 10mg/ml Injection,Baghdad,South,Return,3,5000,-15000,2026-06-02
TXN-10191,2026-03-23 21:32:12,LOSART 50mg Tablets,Anbar,North,Return,1,25000,-25000,2026-02-24
TXN-10192,2026-05-28 20:32:12,SITAVIA Plus 50/1000mg,Erbil,West,Sale,95,25000,2375000,2026-05-16
TXN-10193,2026-01-24 05:32:12,SITAVIA 100mg Tablets,Erbil,Central,Sale,20,7500,150000,2026-08-13
TXN-10194,2026-05-10 06:32:12,Neuro-Forte F/C Tablet,Baghdad,Central,Sale,142,15000,2130000,2026-04-10
TXN-10195,2026-02-01 10:32:12,SITAVIA Plus 50/1000mg,Basra,Central,Sale,57,15000,855000,2026-03-21
TXN-10196,2026-04-05 02:32:12,SITAVIA 100mg Tablets,Mosul,West,Sale,90,12000,1080000,2027-01-20
TXN-10197,2026-02-08 01:32:12,CLAFONEER 500mg IV/IM Vial,Basra,North,Return,2,12000,-24000,2026-04-25
TXN-10198,2026-03-06 15:32:12,NAPRON 500mg Tablet,Anbar,North,Sale,121,5000,605000,2026-08-02
TXN-10199,2026-05-01 10:32:12,SITAVIA 100mg Tablets,Basra,North,Sale,41,15000,615000,2026-05-09
TXN-10200,2025-12-21 06:32:12,LOSART 50mg Tablets,Basra,Central,Sale,142,25000,3550000,2026-08-20
TXN-10201,2026-05-11 04:32:12,SITAVIA Plus 50/1000mg,Baghdad,South,Sale,28,12000,336000,2026-07-13
TXN-10202,2026-03-20 23:32:12,NAPRON 500mg Tablet,Basra,Central,Sale,128,12000,1536000,2026-12-15
TXN-10203,2026-05-08 23:32:12,No-vomit 8mg/4ml Injection,Baghdad,Central,Sale,22,25000,550000,2027-03-24
TXN-10204,2026-01-11 08:32:12,LOSART 50mg Tablets,Mosul,Central,Sale,36,7500,270000,2026-03-26
TXN-10205,2026-03-24 07:32:12,Neuro-Forte F/C Tablet,Anbar,Central,Sale,69,5000,345000,2026-03-19
TXN-10206,2026-06-01 06:32:12,No-vomit 8mg/4ml Injection,Erbil,Central,Sale,142,12000,1704000,2026-09-11
TXN-10207,2026-01-16 10:32:12,Neuro-Forte F/C Tablet,Anbar,South,Sale,147,7500,1102500,2026-04-09
TXN-10208,2026-06-03 00:32:12,Piodol 500mg Tablets,Basra,West,Sale,71,15000,1065000,2027-03-10
TXN-10209,2026-01-12 22:32:12,CLAFONEER 500mg IV/IM Vial,Erbil,South,Sale,90,15000,1350000,2026-08-01
TXN-10210,2026-05-26 21:32:12,CLAFONEER 500mg IV/IM Vial,Erbil,North,Sale,76,12000,912000,2026-06-08
TXN-10211,2026-04-15 23:32:12,Neuro-Forte F/C Tablet,Baghdad,Central,Sale,132,12000,1584000,2026-04-02
TXN-10212,2026-05-12 10:32:12,LOSART 50mg Tablets,Mosul,North,Sale,138,12000,1656000,2027-03-01
TXN-10213,2026-06-12 14:32:12,ATRANEER 10mg/ml Injection,Erbil,South,Sale,19,25000,475000,2026-05-13
TXN-10214,2026-04-20 23:32:12,LOSART 50mg Tablets,Baghdad,North,Return,9,12000,-108000,2026-10-01
TXN-10215,2026-05-15 15:32:12,SITAVIA 100mg Tablets,Basra,Central,Sale,84,12000,1008000,2027-01-10
TXN-10216,2026-01-07 22:32:12,Neuro-Forte F/C Tablet,Mosul,Central,Sale,52,7500,390000,2025-12-19
TXN-10217,2026-03-29 07:32:12,ATRANEER 10mg/ml Injection,Erbil,West,Sale,12,25000,300000,2026-10-18
TXN-10218,2026-01-16 20:32:12,NAPRON 500mg Tablet,Mosul,Central,Sale,29,5000,145000,2026-11-22
TXN-10219,2026-03-28 01:32:12,SITAVIA Plus 50/1000mg,Mosul,North,Sale,35,12000,420000,2026-04-04
TXN-10220,2025-12-22 22:32:12,NAPRON 500mg Tablet,Erbil,Central,Return,7,12000,-84000,2026-08-28
TXN-10221,2026-04-28 19:32:12,Neuro-Forte F/C Tablet,Baghdad,North,Sale,65,15000,975000,2026-05-18
